pair_id,idx_9000nm,idx_11000nm,distance_m,fpa_wl0,fpa_wl1,n_matches,n_inliers,inlier_ratio,mean_conf
43374_40433,43374,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9896904826164246
43375_40433,43375,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9896227121353149
43376_40433,43376,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.989687442779541
43377_40433,43377,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.989655613899231
43378_40433,43378,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9896447062492371
43379_40433,43379,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.989554762840271
43412_40433,43412,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9908826947212219
43413_40433,43413,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9909489154815674
43364_40433,43364,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9898653626441956
43365_40433,43365,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9897873401641846
43366_40433,43366,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.989808976650238
43367_40433,43367,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9898828864097595
43368_40433,43368,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9898679852485657
43369_40433,43369,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9898882508277893
43370_40433,43370,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.98985755443573
43371_40433,43371,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9898502826690674
43372_40433,43372,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9898449778556824
43373_40433,43373,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.989794135093689
43380_40433,43380,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9895340204238892
43381_40433,43381,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9894807934761047
43382_40433,43382,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9895836114883423
43383_40433,43383,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9896145462989807
43384_40433,43384,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9895542860031128
43385_40433,43385,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.989534318447113
43386_40433,43386,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9895727038383484
43387_40433,43387,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9896215200424194
43388_40433,43388,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.989670991897583
43389_40433,43389,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9895970821380615
43358_40433,43358,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9897008538246155
43359_40433,43359,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9897222518920898
43360_40433,43360,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9897665977478027
43361_40433,43361,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9898552298545837
43362_40433,43362,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.989875316619873
43363_40433,43363,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9899178147315979
43396_40433,43396,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9898802042007446
43397_40433,43397,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9900774955749512
43302_40433,43302,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9915764331817627
43303_40433,43303,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9915958046913147
43304_40433,43304,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9915685653686523
43305_40433,43305,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9915227293968201
43306_40433,43306,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9914907217025757
43307_40433,43307,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9914317727088928
43308_40433,43308,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9914115071296692
43309_40433,43309,40433,5.74609844612315,13.5,12.1,784,784,1.0,0.9912389516830444
43292_40397,43292,40397,5.924778338956314,13.5,12.1,784,784,1.0,0.988791823387146
