pair_id,idx_9000nm,idx_11000nm,distance_m,n_matches,n_inliers,inlier_ratio,mean_conf
43567_41615,43567,41615,7.2827372775617265,784,784,1.0,0.9953691363334656
43566_41615,43566,41615,7.2827372775617265,784,784,1.0,0.9954360723495483
43597_41615,43597,41615,7.2827372775617265,784,784,1.0,0.9950835704803467
43596_41615,43596,41615,7.2827372775617265,784,784,1.0,0.9951393008232117
43595_41615,43595,41615,7.2827372775617265,784,784,1.0,0.9951838254928589
43562_41615,43562,41615,7.2827372775617265,784,784,1.0,0.9953773617744446
43561_41615,43561,41615,7.2827372775617265,784,784,1.0,0.9954093098640442
43560_41615,43560,41615,7.2827372775617265,784,784,1.0,0.995460033416748
43593_41615,43593,41615,7.2827372775617265,784,784,1.0,0.9951634407043457
43594_41615,43594,41615,7.2827372775617265,784,784,1.0,0.995186448097229
43602_41615,43602,41615,7.2827372775617265,784,784,1.0,0.9951302409172058
43601_41615,43601,41615,7.2827372775617265,784,784,1.0,0.9951111674308777
43604_41615,43604,41615,7.2827372775617265,784,784,1.0,0.9950729608535767
43603_41615,43603,41615,7.2827372775617265,784,784,1.0,0.9951217770576477
43513_40639,43513,40639,7.3055286088409215,784,784,1.0,0.9946614503860474
43512_40639,43512,40639,7.3055286088409215,784,784,1.0,0.9946388602256775
43511_40639,43511,40639,7.3055286088409215,784,784,1.0,0.9946774840354919
43514_40639,43514,40639,7.3055286088409215,784,784,1.0,0.9946298599243164
43516_40639,43516,40639,7.3055286088409215,784,784,1.0,0.9945846796035767
43515_40639,43515,40639,7.3055286088409215,784,784,1.0,0.9946125745773315
43521_40639,43521,40639,7.3055286088409215,784,784,1.0,0.9945604205131531
43520_40639,43520,40639,7.3055286088409215,784,784,1.0,0.9945012927055359
43518_40639,43518,40639,7.3055286088409215,784,784,1.0,0.9945646524429321
43519_40639,43519,40639,7.3055286088409215,784,784,1.0,0.9945279955863953
43517_40639,43517,40639,7.3055286088409215,785,785,1.0,0.9945669174194336
33347_29946,33347,29946,8.354211897294777,784,784,1.0,0.9954499006271362
33348_29946,33348,29946,8.354211897294777,784,784,1.0,0.9954421520233154
33349_29946,33349,29946,8.354211897294777,784,784,1.0,0.9954586625099182
33346_29946,33346,29946,8.354211897294777,784,784,1.0,0.9954658150672913
33350_29946,33350,29946,8.354211897294777,784,784,1.0,0.9954525828361511
33340_29946,33340,29946,8.354211897294777,784,784,1.0,0.9954271912574768
33341_29946,33341,29946,8.354211897294777,784,784,1.0,0.9954468011856079
33342_29946,33342,29946,8.354211897294777,784,784,1.0,0.9954348206520081
33343_29946,33343,29946,8.354211897294777,784,784,1.0,0.9954284429550171
33345_29946,33345,29946,8.354211897294777,784,784,1.0,0.9954453110694885
33344_29946,33344,29946,8.354211897294777,784,784,1.0,0.9954271912574768
33351_29946,33351,29946,8.354211897294777,784,784,1.0,0.9954562783241272
42113_39690,42113,39690,9.339524113797484,784,784,1.0,0.9957236647605896
42112_39690,42112,39690,9.339524113797484,784,784,1.0,0.9957216382026672
42111_39690,42111,39690,9.339524113797484,784,784,1.0,0.9957630634307861
42110_39690,42110,39690,9.339524113797484,784,784,1.0,0.9957560300827026
42105_39690,42105,39690,9.339524113797484,784,784,1.0,0.9956123232841492
42106_39690,42106,39690,9.339524113797484,784,784,1.0,0.9956758618354797
42126_39690,42126,39690,9.339524113797484,784,784,1.0,0.995423436164856
42114_39690,42114,39690,9.339524113797484,784,784,1.0,0.9957581162452698
42120_39690,42120,39690,9.339524113797484,784,784,1.0,0.995631217956543
42121_39690,42121,39690,9.339524113797484,784,784,1.0,0.9956408739089966
42122_39690,42122,39690,9.339524113797484,784,784,1.0,0.9955691695213318
42123_39690,42123,39690,9.339524113797484,784,784,1.0,0.995537519454956
42124_39690,42124,39690,9.339524113797484,784,784,1.0,0.9954788684844971
42125_39690,42125,39690,9.339524113797484,784,784,1.0,0.9954005479812622
42104_39690,42104,39690,9.339524113797484,784,784,1.0,0.9955807328224182
42109_39690,42109,39690,9.339524113797484,784,784,1.0,0.9957631230354309
