pair_id,idx_9000nm,idx_11000nm,distance_m,n_matches,n_inliers,inlier_ratio,mean_conf
43347_40433,43347,40433,5.74609844612315,1642,1272,0.7746650426309378,0.3570280075073242
43348_40433,43348,40433,5.74609844612315,1619,1317,0.8134651019147622,0.3573872148990631
43342_40433,43342,40433,5.74609844612315,1562,1252,0.8015364916773368,0.35307320952415466
43327_40433,43327,40433,5.74609844612315,1598,1258,0.7872340425531915,0.34984511137008667
43329_40433,43329,40433,5.74609844612315,1507,1194,0.7923025879230259,0.354339063167572
43328_40433,43328,40433,5.74609844612315,1542,1248,0.8093385214007782,0.35479703545570374
43331_40433,43331,40433,5.74609844612315,1551,1241,0.8001289490651193,0.34503233432769775
43332_40433,43332,40433,5.74609844612315,1496,1154,0.7713903743315508,0.34753262996673584
43333_40433,43333,40433,5.74609844612315,1514,1219,0.8051519154557464,0.343612939119339
43330_40433,43330,40433,5.74609844612315,1502,1219,0.8115845539280959,0.34800559282302856
43346_40433,43346,40433,5.74609844612315,1690,1385,0.8195266272189349,0.3580295443534851
43343_40433,43343,40433,5.74609844612315,1607,1289,0.8021157436216553,0.354671835899353
43345_40433,43345,40433,5.74609844612315,1673,1410,0.8427973699940227,0.35409408807754517
43344_40433,43344,40433,5.74609844612315,1594,1300,0.8155583437892095,0.3551384508609772
43410_40433,43410,40433,5.74609844612315,1495,1218,0.8147157190635451,0.34875497221946716
43406_40433,43406,40433,5.74609844612315,1360,1135,0.8345588235294118,0.3475113809108734
43407_40433,43407,40433,5.74609844612315,1390,1140,0.8201438848920863,0.34312644600868225
43408_40433,43408,40433,5.74609844612315,1354,1068,0.7887740029542097,0.34981605410575867
43414_40433,43414,40433,5.74609844612315,1414,1161,0.8210749646393211,0.34689563512802124
43411_40433,43411,40433,5.74609844612315,1532,1247,0.8139686684073107,0.34841200709342957
43409_40433,43409,40433,5.74609844612315,1468,1237,0.8426430517711172,0.34917962551116943
43415_40433,43415,40433,5.74609844612315,1367,1113,0.8141916605705926,0.34756726026535034
43418_40433,43418,40433,5.74609844612315,1372,1086,0.7915451895043731,0.35525503754615784
43419_40433,43419,40433,5.74609844612315,1320,1076,0.8151515151515152,0.3511660099029541
43417_40433,43417,40433,5.74609844612315,1341,1049,0.7822520507084265,0.3512919247150421
43416_40433,43416,40433,5.74609844612315,1290,1055,0.8178294573643411,0.35246747732162476
43390_40433,43390,40433,5.74609844612315,1315,1113,0.8463878326996198,0.34457576274871826
43420_40433,43420,40433,5.74609844612315,1260,1009,0.8007936507936508,0.3492484390735626
43391_40433,43391,40433,5.74609844612315,1301,1039,0.7986164488854727,0.3451801836490631
43392_40433,43392,40433,5.74609844612315,1320,1043,0.7901515151515152,0.34438592195510864
43394_40433,43394,40433,5.74609844612315,1385,1133,0.8180505415162455,0.34879356622695923
43393_40433,43393,40433,5.74609844612315,1354,1102,0.8138847858197932,0.3470670282840729
43395_40433,43395,40433,5.74609844612315,1326,1003,0.7564102564102564,0.34628039598464966
43398_40433,43398,40433,5.74609844612315,1211,972,0.8026424442609413,0.33459869027137756
43399_40433,43399,40433,5.74609844612315,1182,895,0.7571912013536379,0.33703309297561646
43400_40433,43400,40433,5.74609844612315,1221,937,0.7674037674037674,0.33826667070388794
43401_40433,43401,40433,5.74609844612315,1212,986,0.8135313531353136,0.33830052614212036
43402_40433,43402,40433,5.74609844612315,1253,974,0.7773343974461293,0.33841800689697266
43403_40433,43403,40433,5.74609844612315,1300,1048,0.8061538461538461,0.3431711196899414
43404_40433,43404,40433,5.74609844612315,1360,1102,0.8102941176470588,0.3474717140197754
43405_40433,43405,40433,5.74609844612315,1385,1104,0.7971119133574007,0.35014501214027405
43374_40433,43374,40433,5.74609844612315,1620,1266,0.7814814814814814,0.3531251549720764
43375_40433,43375,40433,5.74609844612315,1654,1325,0.8010882708585247,0.35679543018341064
43376_40433,43376,40433,5.74609844612315,1598,1240,0.7759699624530664,0.3543647825717926
43377_40433,43377,40433,5.74609844612315,1562,1249,0.7996158770806658,0.3492583930492401
43378_40433,43378,40433,5.74609844612315,1576,1210,0.7677664974619289,0.3542616665363312
43379_40433,43379,40433,5.74609844612315,1639,1305,0.7962172056131788,0.3534362018108368
43412_40433,43412,40433,5.74609844612315,1536,1254,0.81640625,0.3499779999256134
43413_40433,43413,40433,5.74609844612315,1473,1243,0.8438560760353021,0.34824052453041077
43364_40433,43364,40433,5.74609844612315,1704,1395,0.8186619718309859,0.35345587134361267
43365_40433,43365,40433,5.74609844612315,1702,1373,0.8066980023501763,0.3570806682109833
43366_40433,43366,40433,5.74609844612315,1601,1363,0.8513429106808245,0.3544989824295044
43367_40433,43367,40433,5.74609844612315,1609,1276,0.7930391547545059,0.35451439023017883
43368_40433,43368,40433,5.74609844612315,1610,1359,0.8440993788819876,0.3506118059158325
43369_40433,43369,40433,5.74609844612315,1625,1406,0.8652307692307692,0.35398226976394653
43370_40433,43370,40433,5.74609844612315,1614,1332,0.8252788104089219,0.352742463350296
43371_40433,43371,40433,5.74609844612315,1646,1366,0.8298906439854192,0.35195547342300415
43372_40433,43372,40433,5.74609844612315,1583,1293,0.8168035375868604,0.3534981310367584
43373_40433,43373,40433,5.74609844612315,1613,1285,0.796652200867948,0.35460445284843445
43380_40433,43380,40433,5.74609844612315,1624,1271,0.7826354679802956,0.3507847785949707
43381_40433,43381,40433,5.74609844612315,1649,1337,0.810794420861128,0.3493984639644623
