pair_id,idx_11000nm,idx_pan,distance_m,fpa_wl0,fpa_wl1,n_matches,n_inliers,inlier_ratio,mean_conf
41999_25413,41999,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9741972088813782
41998_25413,41998,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9743142127990723
41997_25413,41997,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9741858839988708
41996_25413,41996,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9743320941925049
41995_25413,41995,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9744135141372681
41994_25413,41994,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9742582440376282
41993_25413,41993,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9740659594535828
41992_25413,41992,25413,7.024347694522669,12.0,11.9,784,783,0.9987244897959183,0.9739512205123901
41991_25413,41991,25413,7.024347694522669,12.0,11.9,784,783,0.9987244897959183,0.9739977121353149
41990_25413,41990,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9736725091934204
41957_25413,41957,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9726461172103882
41956_25413,41956,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9727782607078552
41987_25413,41987,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9736422300338745
41986_25413,41986,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9734310507774353
41985_25413,41985,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9736394286155701
41984_25413,41984,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9734476208686829
41983_25413,41983,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9731579422950745
41982_25413,41982,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9733909368515015
41981_25413,41981,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9732140302658081
41980_25413,41980,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9728574156761169
41979_25413,41979,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9723490476608276
41978_25413,41978,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9724777936935425
41977_25413,41977,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9722585678100586
41976_25413,41976,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9717626571655273
41975_25413,41975,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.971946656703949
